run_id,epoch,timestamp,entropy,reward,reward_all_zero,policy_loss,gradient_norm
run01,1,2026-09-15T00:00:00Z,1.10,-2.3,false,6.8,14.2
run01,2,2026-09-15T00:06:00Z,1.08,-1.1,false,6.5,10.1
run01,3,2026-09-15T00:12:00Z,1.05,0.4,false,6.1,13.8
run01,4,2026-09-15T00:18:00Z,1.02,1.8,false,5.9,9.4
run01,5,2026-09-15T00:24:00Z,0.99,3.2,false,5.6,15.6
run01,6,2026-09-15T00:30:00Z,0.95,4.5,false,5.3,8.9
run01,7,2026-09-15T00:36:00Z,0.92,5.9,false,5.0,12.3
run01,8,2026-09-15T00:42:00Z,0.89,7.1,false,4.8,16.8
run01,9,2026-09-15T00:48:00Z,0.86,8.6,false,4.6,10.7
run01,10,2026-09-15T00:54:00Z,0.83,9.8,false,4.4,13.1
run01,11,2026-09-15T01:00:00Z,0.80,11.0,false,4.2,9.8
run01,12,2026-09-15T01:06:00Z,0.78,12.3,false,4.1,14.9
run01,13,2026-09-15T01:12:00Z,0.76,13.5,false,3.9,11.2
run01,14,2026-09-15T01:18:00Z,0.74,14.9,false,3.8,16.3
run01,15,2026-09-15T01:24:00Z,0.72,16.1,false,3.6,10.4
run01,16,2026-09-15T01:30:00Z,0.71,17.3,false,3.5,12.7
run01,17,2026-09-15T01:36:00Z,0.70,18.5,false,3.4,15.1
run01,18,2026-09-15T01:42:00Z,0.69,19.0,false,3.3,9.6
run01,19,2026-09-15T01:48:00Z,0.68,19.8,false,3.2,13.4
run01,20,2026-09-15T01:54:00Z,0.67,20.4,false,3.1,11.9
